month, method, #_true_orders_multiple,#_true_orders_1_multiple,#_true_orders_2_multiple,#_true_orders_3_multiple,#_true_orders_4_multiple,#_true_orders_unique,#_true_orders_1_unique,#_true_orders_2_unique,#_true_orders_3_unique,#_true_orders_4_unique,#_positive_orders_multiple,#_positive_orders_1_multiple,#_positive_orders_2_multiple,#_positive_orders_3_multiple,#_positive_orders_4_multiple,#_positive_orders_unique,#_positive_orders_1_unique,#_positive_orders_2_unique,#_positive_orders_3_unique,#_positive_orders_4_unique,recall_unique,recall_1_unique,recall_2_unique,recall_3_unique,recall_4_unique,accuracy_unique,accuracy_1_unique,accuracy_2_unique,accuracy_3_unique,accuracy_4_unique,recall_multiple,recall_1_multiple,recall_2_multiple,recall_3_multiple,recall_4_multiple,accuracy_multiple,accuracy_1_multiple,accuracy_2_multiple,accuracy_3_multiple,accuracy_4_multiple,overlap,overlap_1,overlap_2,overlap_3,overlap_4
201901,  ss+rank,39955,20839,8405,6197,4514,14189,608,3833,5372,4376,91932,46348,19618,14742,11224,30726,747,7301,11914,10764,0.2618225385862288,0.9046052631578947,0.5327419775632664,0.176656738644825,0.03976234003656307,0.12090737486168066,0.7362784471218207,0.2796877140117792,0.07965418834984052,0.016164994425863992,0.6891080188207028,0.9703934740882918,0.6887937187723054,0.2132946111648919,0.04407530454042082,0.29950072335287653,0.43632009320589443,0.2951220755390183,0.08966967374347148,0.017728285077951003, 0.557656180154353,0.8312227221257187,0.5030082305527694,0.13245903883846757,0.02332357303846971
201901,  rank,39955,20839,8405,6197,4514,14189,608,3833,5372,4376,91932,46348,25963,16121,3500,31661,747,13090,14387,3437,0.33821974769187396,0.9046052631578947,0.6691886250978346,0.27755026061057336,0.04410420475319927,0.15157449227756545,0.7362784471218207,0.1959511077158136,0.10363522624591645,0.05615362234506838,0.7091550705776354,0.9703934740882918,0.7231739233880562,0.2939657954178767,0.04673311184939092,0.30821359033208967,0.43632009320589443,0.23413187490371284,0.11301327378737129,0.060268494715795484, 0.5603952104169192,0.8312227221257187,0.417569990406181,0.14844407715946406,0.04847635926324461
201902,  ss+rank,36281,16815,8462,6412,4592,14376,624,3891,5426,4435,79792,38343,18155,13757,9537,27848,775,7016,10964,9093,0.24624373956594323,0.9006410256410257,0.47340015420200465,0.17158127534095097,0.046223224351747465,0.1271186440677966,0.7251612903225807,0.26254275940706956,0.08491426486683692,0.022544814692620697,0.6504051595832644,0.9740128449096099,0.6463429044074205,0.2332761578044597,0.05508382320923144,0.2957402278395348,0.4271593991237221,0.30127781449658514,0.10873673499055095,0.026525477039211574, 0.5528309196921722,0.8615239787222261,0.49692397089298573,0.16070619705157088,0.033908258099118176
201902,  rank,36281,16815,8462,6412,4592,14376,624,3891,5426,4435,79792,38343,24272,13748,3429,28718,775,12874,11797,3272,0.3178909293266555,0.9006410256410257,0.618864045232588,0.24345742720235902,0.06290868094701241,0.1591336444042064,0.7251612903225807,0.1870436538760292,0.11197762142917692,0.08526894865525672,0.670415081858773,0.9740128449096099,0.6748198038520619,0.29689692811476687,0.07184846505551927,0.30483877031819834,0.4271593991237221,0.23528200057677254,0.13848279874899994,0.09620991253644315, 0.554015244630324,0.8615239787222261,0.40737256379170295,0.18281754043144835,0.07437535755185051
201903,  ss+rank,33912,16619,7988,5599,3706,12284,596,3503,4588,3597,79042,39122,18474,12691,8755,26296,782,6741,10294,8479,0.26392054705307716,0.8942953020134228,0.5075649443334285,0.17981691368788144,0.029469001946066165,0.12328871311226042,0.6815856777493606,0.26375908618899274,0.08014377307169225,0.012501474230451705,0.6691534219915667,0.9732851985559566,0.6536487670547002,0.2092857142857143,0.0331804693822498,0.28709689662588717,0.41346522505942795,0.28265223274695533,0.09234163252442483,0.014047510278666058, 0.5526760637627979,0.8441328114259735,0.481448870284977,0.134972054582335,0.017537029954049828
201903,  rank,33912,16619,7988,5599,3706,12284,596,3503,4588,3597,79042,39122,23020,13823,3077,27339,782,11499,12058,3000,0.33653533051123413,0.8942953020134228,0.618612617756209,0.273539668700959,0.04976369196552683,0.15121255349500715,0.6815856777493606,0.18845116966692757,0.10408027865317632,0.059666666666666666,0.6893226786188188,0.9732851985559566,0.6740518212542246,0.29035714285714287,0.05125438359859725,0.29575041433143984,0.41346522505942795,0.2339168585204813,0.11762152777777778,0.06172839506172839, 0.554647295471513,0.8441328114259735,0.408724685638355,0.15898680349759245,0.05242655630856915
201904,  ss+rank,33892,17674,7420,5240,3558,12203,575,3542,4600,3486,103037,56332,21720,14768,10217,29454,718,7104,11841,9791,0.26616405801852006,0.8852173913043478,0.5090344438170525,0.17652173913043478,0.03557085484796328,0.11027364704284648,0.7089136490250696,0.25380067567567566,0.06857528924921881,0.012664692064140537,0.6991119110140737,0.9773125884016973,0.6903382293491443,0.22152261018889524,0.0384939589772408,0.22996370271162095,0.306640867697442,0.23585470282215368,0.07861060329067641,0.013407711880994324, 0.5744935837732115,0.8342443156015377,0.5033308017254607,0.12931725703604868,0.016721543847580008
201904,  rank,33892,17674,7420,5240,3558,12203,575,3542,4600,3486,103037,56332,27130,16011,3564,31082,718,13013,13877,3474,0.3433581906088667,0.8852173913043478,0.6324110671936759,0.27456521739130435,0.051061388410786,0.1348047101216138,0.7089136490250696,0.17213555675094136,0.09101390790516682,0.051237766263673,0.7216534387631665,0.9773125884016973,0.7228136369761488,0.3113909559244419,0.053104804720427085,0.23737844290455948,0.306640867697442,0.19770741955696436,0.101923557332001,0.053015427769985975, 0.573420435581202,0.8342443156015377,0.4211924118971856,0.14721110152800315,0.053041185699982646
201905,  ss+rank,51925,28778,9818,7784,5545,16218,589,4142,6356,5131,103809,57523,21690,14873,9723,29368,740,7341,11914,9373,0.2362806757923295,0.9049235993208828,0.51569290197972,0.1592196349905601,0.029428961216137205,0.13048215745028602,0.7202702702702702,0.2909685328974254,0.08494208494208494,0.016110103488744264,0.700939798944652,0.9732791271413184,0.6869334962827172,0.18921001926782274,0.030472412549585288,0.3506116944417686,0.48692719560531256,0.31095846203494537,0.0990318676885841,0.017379679144385027, 0.5884322498821862,0.8324440217295783,0.5260222823483249,0.13615276003496304,0.020169812925335664
201905,  rank,51925,28778,9818,7784,5545,16218,589,4142,6356,5131,103809,57523,27216,15790,3280,31225,740,13428,13845,3212,0.3129855715871254,0.9049235993208828,0.653549010140029,0.2588105726872247,0.03722471253167024,0.16256204963971177,0.7202702702702702,0.20159368483765266,0.11881545684362586,0.05946450809464508,0.7183299310557332,0.9732791271413184,0.7125980242387209,0.26795118818240204,0.03732419761990624,0.3593102783932184,0.48692719560531256,0.25708197082705664,0.13210056361218417,0.06309052118256629, 0.5909685175906061,0.8324440217295783,0.44916007491551574,0.16612952829630037,0.03962837317732955
201906,  ss+rank,20833,10076,4811,3379,2567,8801,526,2674,3075,2526,195475,109964,41364,26263,17884,44545,751,9392,17933,16469,0.3410976025451653,0.9201520912547528,0.5961106955871354,0.25040650406504067,0.06096595407759303,0.06739252441351443,0.644474034620506,0.16971890971039183,0.04293760107065187,0.00935090169409193,0.7084573293654604,0.9933511957923985,0.7472984206151289,0.292603550295858,0.06425233644859812,0.07550799075078271,0.09102896376119675,0.08693339780007253,0.03765610721900701,0.009225608051439753, 0.5158176203360739,0.7804775048614212,0.44815698121614217,0.12189092515205567,0.01881588633741214
201906,  rank,20833,10076,4811,3379,2567,8801,526,2674,3075,2526,195475,109964,48081,28765,8665,47143,751,17107,21390,7895,0.4032496307237814,0.9201520912547528,0.7172774869109948,0.32195121951219513,0.062153602533650036,0.0752815900557877,0.644474034620506,0.1121178464955866,0.04628330995792426,0.019886003799873337,0.7318325813573966,0.9933511957923985,0.8056940980881131,0.35384615384615387,0.06386292834890965,0.07799934518815609,0.09102896376119675,0.08063308514620857,0.04157686157268998,0.01892453265635818, 0.5081835460231005,0.7804775048614212,0.38057935222948874,0.11675004978294977,0.02742496478114181
